date,temperatures,error,city,country,lattitude,longitude
1753-01-01,7.106,5.358,Amadora,Portugal,39.38N,8.32W
1753-02-01,9.266,2.695,Amadora,Portugal,39.38N,8.32W
1753-03-01,13.495999999999999,3.068,Amadora,Portugal,39.38N,8.32W
1753-04-01,13.617,5.417000000000001,Amadora,Portugal,39.38N,8.32W
1753-05-01,17.78,2.226,Amadora,Portugal,39.38N,8.32W
1753-06-01,22.511,2.592,Amadora,Portugal,39.38N,8.32W
1753-07-01,23.78,2.099,Amadora,Portugal,39.38N,8.32W
1753-08-01,22.355,5.084,Amadora,Portugal,39.38N,8.32W
1753-09-01,20.332,1.767,Amadora,Portugal,39.38N,8.32W
1753-10-01,16.311,1.7919999999999998,Amadora,Portugal,39.38N,8.32W
1753-11-01,11.369000000000002,2.5789999999999997,Amadora,Portugal,39.38N,8.32W
1753-12-01,8.327,3.195,Amadora,Portugal,39.38N,8.32W
1754-01-01,7.95,2.387,Amadora,Portugal,39.38N,8.32W
1754-02-01,7.068,3.3110000000000004,Amadora,Portugal,39.38N,8.32W
1754-03-01,10.725,3.125,Amadora,Portugal,39.38N,8.32W
1754-04-01,16.225,5.316,Amadora,Portugal,39.38N,8.32W
1754-05-01,17.835,2.96,Amadora,Portugal,39.38N,8.32W
1754-06-01,21.443,1.9709999999999999,Amadora,Portugal,39.38N,8.32W
1754-07-01,22.958,2.563,Amadora,Portugal,39.38N,8.32W
1754-08-01,23.044,3.573,Amadora,Portugal,39.38N,8.32W
1754-09-01,19.961,2.634,Amadora,Portugal,39.38N,8.32W
1754-10-01,17.462,2.325,Amadora,Portugal,39.38N,8.32W
1754-11-01,13.155,2.089,Amadora,Portugal,39.38N,8.32W
1754-12-01,9.767000000000001,2.464,Amadora,Portugal,39.38N,8.32W
1755-01-01,6.3100000000000005,4.545,Amadora,Portugal,39.38N,8.32W
1755-02-01,8.193999999999999,3.892,Amadora,Portugal,39.38N,8.32W
1755-03-01,11.784,3.45,Amadora,Portugal,39.38N,8.32W
1755-04-01,16.301,3.69,Amadora,Portugal,39.38N,8.32W
1755-05-01,17.719,3.112,Amadora,Portugal,39.38N,8.32W
1755-06-01,22.715999999999998,3.1039999999999996,Amadora,Portugal,39.38N,8.32W
1755-07-01,22.929,1.962,Amadora,Portugal,39.38N,8.32W
1755-08-01,21.948,2.483,Amadora,Portugal,39.38N,8.32W
1755-09-01,20.009,1.704,Amadora,Portugal,39.38N,8.32W
1755-10-01,15.72,5.321000000000001,Amadora,Portugal,39.38N,8.32W
1755-11-01,12.252999999999998,5.101,Amadora,Portugal,39.38N,8.32W
1755-12-01,8.023,5.94,Amadora,Portugal,39.38N,8.32W
1756-01-01,10.142000000000001,3.6919999999999997,Amadora,Portugal,39.38N,8.32W
1756-02-01,12.84,3.24,Amadora,Portugal,39.38N,8.32W
1756-03-01,12.113,5.096,Amadora,Portugal,39.38N,8.32W
1756-04-01,15.144,2.4530000000000003,Amadora,Portugal,39.38N,8.32W
1756-05-01,18.482000000000006,4.495,Amadora,Portugal,39.38N,8.32W
1756-06-01,21.719,2.807,Amadora,Portugal,39.38N,8.32W
1756-07-01,22.581,2.131,Amadora,Portugal,39.38N,8.32W
1756-08-01,22.122,6.441,Amadora,Portugal,39.38N,8.32W
1756-09-01,21.019,2.6460000000000004,Amadora,Portugal,39.38N,8.32W
1756-10-01,14.812999999999999,2.697,Amadora,Portugal,39.38N,8.32W
1756-11-01,10.357000000000001,3.3169999999999997,Amadora,Portugal,39.38N,8.32W
1756-12-01,6.799,2.474,Amadora,Portugal,39.38N,8.32W
1757-01-01,5.817,2.342,Amadora,Portugal,39.38N,8.32W
1757-02-01,10.635,3.3510000000000004,Amadora,Portugal,39.38N,8.32W
1757-03-01,11.946,2.971,Amadora,Portugal,39.38N,8.32W
1757-04-01,13.91,4.55,Amadora,Portugal,39.38N,8.32W
1757-05-01,18.706000000000003,3.2089999999999996,Amadora,Portugal,39.38N,8.32W
1757-06-01,23.517,3.3110000000000004,Amadora,Portugal,39.38N,8.32W
1757-07-01,25.951999999999998,4.76,Amadora,Portugal,39.38N,8.32W
1757-08-01,23.592,3.283,Amadora,Portugal,39.38N,8.32W
1757-09-01,21.465,5.571000000000001,Amadora,Portugal,39.38N,8.32W
1757-10-01,13.696,7.407,Amadora,Portugal,39.38N,8.32W
1757-11-01,10.643999999999998,3.516,Amadora,Portugal,39.38N,8.32W
1757-12-01,6.791,7.416,Amadora,Portugal,39.38N,8.32W
1758-01-01,4.882,2.114,Amadora,Portugal,39.38N,8.32W
1758-02-01,9.256,2.681,Amadora,Portugal,39.38N,8.32W
1758-03-01,12.057,3.582,Amadora,Portugal,39.38N,8.32W
1758-04-01,13.106,6.093999999999999,Amadora,Portugal,39.38N,8.32W
1758-05-01,15.978000000000002,4.274,Amadora,Portugal,39.38N,8.32W
1758-06-01,20.592,3.925,Amadora,Portugal,39.38N,8.32W
1758-07-01,21.56,5.671,Amadora,Portugal,39.38N,8.32W
1758-08-01,20.961,4.9,Amadora,Portugal,39.38N,8.32W
1758-09-01,18.317,2.8089999999999997,Amadora,Portugal,39.38N,8.32W
1758-10-01,12.53,8.052,Amadora,Portugal,39.38N,8.32W
1758-11-01,11.985,5.903,Amadora,Portugal,39.38N,8.32W
1758-12-01,8.946,4.47,Amadora,Portugal,39.38N,8.32W
1759-01-01,10.453,4.569,Amadora,Portugal,39.38N,8.32W
1759-02-01,11.322000000000001,5.65,Amadora,Portugal,39.38N,8.32W
1759-03-01,12.005999999999998,2.799,Amadora,Portugal,39.38N,8.32W
1759-04-01,12.858,4.569,Amadora,Portugal,39.38N,8.32W
1759-05-01,16.755000000000006,2.965,Amadora,Portugal,39.38N,8.32W
1759-06-01,20.292,4.342,Amadora,Portugal,39.38N,8.32W
1759-07-01,22.365,3.486,Amadora,Portugal,39.38N,8.32W
1759-08-01,23.34,5.071000000000001,Amadora,Portugal,39.38N,8.32W
1759-09-01,21.369,4.6080000000000005,Amadora,Portugal,39.38N,8.32W
1759-10-01,16.538,3.6289999999999996,Amadora,Portugal,39.38N,8.32W
1759-11-01,9.915,4.586,Amadora,Portugal,39.38N,8.32W
1759-12-01,6.132000000000001,6.095,Amadora,Portugal,39.38N,8.32W
1760-01-01,6.734,3.859,Amadora,Portugal,39.38N,8.32W
1760-02-01,9.727,2.66,Amadora,Portugal,39.38N,8.32W
1760-03-01,9.898,6.565,Amadora,Portugal,39.38N,8.32W
1760-04-01,14.687000000000001,4.962,Amadora,Portugal,39.38N,8.32W
1760-05-01,16.287000000000006,3.4930000000000003,Amadora,Portugal,39.38N,8.32W
1760-06-01,19.165,2.4859999999999998,Amadora,Portugal,39.38N,8.32W
1760-07-01,21.811,3.341,Amadora,Portugal,39.38N,8.32W
1760-08-01,22.588,5.455,Amadora,Portugal,39.38N,8.32W
1760-09-01,20.259,3.963,Amadora,Portugal,39.38N,8.32W
1760-10-01,15.189,3.784,Amadora,Portugal,39.38N,8.32W
1760-11-01,11.524000000000001,2.6319999999999997,Amadora,Portugal,39.38N,8.32W
1760-12-01,8.744,2.8089999999999997,Amadora,Portugal,39.38N,8.32W
1761-01-01,6.404,4.88,Amadora,Portugal,39.38N,8.32W
1761-02-01,11.022,2.9960000000000004,Amadora,Portugal,39.38N,8.32W
1761-03-01,13.494000000000002,1.9340000000000002,Amadora,Portugal,39.38N,8.32W
1761-04-01,12.729000000000001,3.516,Amadora,Portugal,39.38N,8.32W
1761-05-01,18.590999999999998,4.038,Amadora,Portugal,39.38N,8.32W
1761-06-01,22.486,2.355,Amadora,Portugal,39.38N,8.32W
1761-07-01,26.772,4.595,Amadora,Portugal,39.38N,8.32W
1761-08-01,23.373,2.339,Amadora,Portugal,39.38N,8.32W
1761-09-01,20.621,3.008,Amadora,Portugal,39.38N,8.32W
1761-10-01,15.538,3.7680000000000002,Amadora,Portugal,39.38N,8.32W
1761-11-01,10.726,2.242,Amadora,Portugal,39.38N,8.32W
1761-12-01,5.35,2.381,Amadora,Portugal,39.38N,8.32W
1762-01-01,11.907,2.146,Amadora,Portugal,39.38N,8.32W
1762-02-01,11.444,6.263,Amadora,Portugal,39.38N,8.32W
1762-03-01,10.658,3.833,Amadora,Portugal,39.38N,8.32W
1762-04-01,15.265,3.1919999999999997,Amadora,Portugal,39.38N,8.32W
1762-05-01,17.141000000000002,4.795,Amadora,Portugal,39.38N,8.32W
1762-06-01,20.781999999999996,4.751,Amadora,Portugal,39.38N,8.32W
1762-07-01,24.26,2.504,Amadora,Portugal,39.38N,8.32W
1762-08-01,22.528,2.5180000000000002,Amadora,Portugal,39.38N,8.32W
1762-09-01,19.475,6.047999999999999,Amadora,Portugal,39.38N,8.32W
1762-10-01,14.344000000000001,3.3160000000000003,Amadora,Portugal,39.38N,8.32W
1762-11-01,11.812000000000001,2.344,Amadora,Portugal,39.38N,8.32W
1762-12-01,6.959,4.877,Amadora,Portugal,39.38N,8.32W
1763-01-01,6.926,4.723,Amadora,Portugal,39.38N,8.32W
1763-02-01,10.279000000000002,3.7110000000000003,Amadora,Portugal,39.38N,8.32W
1763-03-01,9.956,5.273,Amadora,Portugal,39.38N,8.32W
1763-04-01,13.876,2.055,Amadora,Portugal,39.38N,8.32W
1763-05-01,15.580000000000002,2.717,Amadora,Portugal,39.38N,8.32W
1763-06-01,19.525,4.461,Amadora,Portugal,39.38N,8.32W
1763-07-01,23.796000000000006,2.187,Amadora,Portugal,39.38N,8.32W
1763-08-01,23.055999999999997,2.676,Amadora,Portugal,39.38N,8.32W
1763-09-01,19.624,2.354,Amadora,Portugal,39.38N,8.32W
1763-10-01,13.418,4.66,Amadora,Portugal,39.38N,8.32W
1763-11-01,10.961,3.008,Amadora,Portugal,39.38N,8.32W
1763-12-01,9.919,2.2319999999999998,Amadora,Portugal,39.38N,8.32W
1764-01-01,9.271,3.8280000000000003,Amadora,Portugal,39.38N,8.32W
1764-02-01,12.445,2.762,Amadora,Portugal,39.38N,8.32W
1764-03-01,11.734000000000002,3.27,Amadora,Portugal,39.38N,8.32W
1764-04-01,12.951,3.6460000000000004,Amadora,Portugal,39.38N,8.32W
1764-05-01,16.971,5.5760000000000005,Amadora,Portugal,39.38N,8.32W
1764-06-01,20.108,2.8689999999999998,Amadora,Portugal,39.38N,8.32W
1764-07-01,20.951,4.038,Amadora,Portugal,39.38N,8.32W
1764-08-01,21.674000000000003,1.882,Amadora,Portugal,39.38N,8.32W
1764-09-01,19.761000000000006,3.949,Amadora,Portugal,39.38N,8.32W
1764-10-01,16.408,2.695,Amadora,Portugal,39.38N,8.32W
1764-11-01,12.476,2.657,Amadora,Portugal,39.38N,8.32W
1764-12-01,11.782,3.1430000000000002,Amadora,Portugal,39.38N,8.32W
1765-01-01,11.380999999999998,7.53,Amadora,Portugal,39.38N,8.32W
1765-02-01,10.331,3.327,Amadora,Portugal,39.38N,8.32W
1765-03-01,13.353,2.394,Amadora,Portugal,39.38N,8.32W
1765-04-01,14.493,2.009,Amadora,Portugal,39.38N,8.32W
1765-05-01,17.365000000000002,2.359,Amadora,Portugal,39.38N,8.32W
1765-06-01,19.212,2.717,Amadora,Portugal,39.38N,8.32W
1765-07-01,22.046000000000006,3.304,Amadora,Portugal,39.38N,8.32W
1765-08-01,22.361,2.19,Amadora,Portugal,39.38N,8.32W
1765-09-01,20.430999999999997,1.903,Amadora,Portugal,39.38N,8.32W
1765-10-01,15.8,1.702,Amadora,Portugal,39.38N,8.32W
1765-11-01,11.954,2.8710000000000004,Amadora,Portugal,39.38N,8.32W
1765-12-01,8.361999999999998,2.138,Amadora,Portugal,39.38N,8.32W
1766-01-01,4.9239999999999995,5.112,Amadora,Portugal,39.38N,8.32W
1766-02-01,10.616,3.0439999999999996,Amadora,Portugal,39.38N,8.32W
1766-03-01,12.145,2.399,Amadora,Portugal,39.38N,8.32W
1766-04-01,14.009,2.986,Amadora,Portugal,39.38N,8.32W
1766-05-01,16.762,2.126,Amadora,Portugal,39.38N,8.32W
1766-06-01,20.679000000000002,5.233,Amadora,Portugal,39.38N,8.32W
1766-07-01,21.613000000000003,3.304,Amadora,Portugal,39.38N,8.32W
1766-08-01,23.775,2.68,Amadora,Portugal,39.38N,8.32W
1766-09-01,21.581000000000003,2.875,Amadora,Portugal,39.38N,8.32W
1766-10-01,16.463,2.241,Amadora,Portugal,39.38N,8.32W
1766-11-01,14.236,3.7960000000000003,Amadora,Portugal,39.38N,8.32W
1766-12-01,8.966999999999997,3.1,Amadora,Portugal,39.38N,8.32W
1767-01-01,6.614,5.494,Amadora,Portugal,39.38N,8.32W
1767-02-01,11.890999999999998,5.733,Amadora,Portugal,39.38N,8.32W
1767-03-01,13.634,5.855,Amadora,Portugal,39.38N,8.32W
1767-04-01,12.836,4.587,Amadora,Portugal,39.38N,8.32W
1767-05-01,16.427,2.343,Amadora,Portugal,39.38N,8.32W
1767-06-01,20.788,2.965,Amadora,Portugal,39.38N,8.32W
1767-07-01,22.179,3.2489999999999997,Amadora,Portugal,39.38N,8.32W
1767-08-01,23.576999999999998,2.025,Amadora,Portugal,39.38N,8.32W
1767-09-01,20.515,3.17,Amadora,Portugal,39.38N,8.32W
1767-10-01,16.594,2.5069999999999997,Amadora,Portugal,39.38N,8.32W
1767-11-01,14.337,6.3660000000000005,Amadora,Portugal,39.38N,8.32W
1767-12-01,8.119,4.279,Amadora,Portugal,39.38N,8.32W
1768-01-01,6.04,8.613,Amadora,Portugal,39.38N,8.32W
1768-02-01,9.4,6.647,Amadora,Portugal,39.38N,8.32W
1768-03-01,9.855,4.676,Amadora,Portugal,39.38N,8.32W
1768-04-01,14.059000000000001,3.2289999999999996,Amadora,Portugal,39.38N,8.32W
1768-05-01,15.922,2.602,Amadora,Portugal,39.38N,8.32W
1768-06-01,19.388,3.5860000000000003,Amadora,Portugal,39.38N,8.32W
1768-07-01,22.193,3.735,Amadora,Portugal,39.38N,8.32W
1768-08-01,22.238000000000003,1.791,Amadora,Portugal,39.38N,8.32W
1768-09-01,19.961,3.716,Amadora,Portugal,39.38N,8.32W
1768-10-01,16.084,3.315,Amadora,Portugal,39.38N,8.32W
1768-11-01,12.267000000000001,4.279,Amadora,Portugal,39.38N,8.32W
1768-12-01,9.192,5.809,Amadora,Portugal,39.38N,8.32W
1769-01-01,9.008,4.577,Amadora,Portugal,39.38N,8.32W
1769-02-01,9.708,3.175,Amadora,Portugal,39.38N,8.32W
1769-03-01,11.284,3.821,Amadora,Portugal,39.38N,8.32W
1769-04-01,14.628,4.9,Amadora,Portugal,39.38N,8.32W
1769-05-01,18.573,6.7139999999999995,Amadora,Portugal,39.38N,8.32W
1769-06-01,21.623,4.037,Amadora,Portugal,39.38N,8.32W
1769-07-01,22.915000000000006,4.218,Amadora,Portugal,39.38N,8.32W
1769-08-01,23.239,4.117,Amadora,Portugal,39.38N,8.32W
